Pais,Inflacion,Balanza Comercial,Gasto Consumo Final,Tipo de cambio,Crédito interno del sector financiero
Argentina,,-2,1394108,-3,303057685,0,566891185,
Bolivia,2,272059872,-5,132375019,5,14717661,0,450719575,73,92415675
Brasil,3,664850284,0,528649511,0,018846589,0,554208492,113,7093474
Canadá,2,268225672,-1,962129681,3,036357932,0,960580589,0
Chile,2,434889814,0,092504409,2,223075927,0,631314945,86,48673173
Colombia,3,240234138,-4,89933775,5,6392417,0,444136526,55,40799375
Cuba,0,1,908561031,1,30310741,0,0
República Dominicana,3,56443426,-4,953103777,2,817357099,0,453603084,43,32806471
Ecuador,-0,224103246,-0,227028975,2,913334533,0,54070756,39,84347042
Guatemala,3,751861867,-9,564210985,4,019144906,0,5375572,43,39772477
Honduras,4,347349378,-18,57102888,2,145914834,0,486521434,63,24168142
Haití,12,48141112,-41,39647832,1,698587934,0,465195458,33,99825317
América Latina y el Caribe (excluido altos ingresos),2,782189496,-1,129055541,0,413840461,0,75,020726
América Latina y el Caribe,2,324144854,-0,845591363,0,475148584,0,75,26700558
México,4,899350154,-1,869709764,3,0097077,0,487458624,38,20644661
Nicaragua,4,94723728,-9,294049431,-2,780294056,0,366653299,47,17767671
Panamá,0,761578359,0,0,0,609503694,82,33993879
Perú,1,317647659,1,83961314,2,718047648,0,481426122,37,78463143
Puerto Rico,0,13,95349987,-2,856627376,0,800477449,0
Paraguay,3,975610157,1,603323809,6,011436965,0,428076894,36,23365752
El Salvador,1,090330006,-19,70994359,0,784228151,0,487079673,58,22669025
América Latina y el Caribe (BIRF y la AIF),2,298102363,-1,095112613,0,466106849,0,75,20693757
Uruguay,7,606533604,2,016287753,0,753560201,0,732981505,35,97235643
Estados Unidos,2,442583297,-3,106519327,1,653510462,1,102,7040133
Venezuela,0,0,-9,095397003,0,0